scenario,annual_co2_seq_tha_20year,annual_co2_seq_tha_35year,annual_co2_seq_tha_82year
mm01,0.1227641852375804,0.09025326682652844,0.06540752430100889
mm02,0.2975939967907923,0.21633229483307223,0.1542298559385547
mm05,0.25290611169667476,0.18807151803264435,0.13852312937883218
mm06,0.11868010814276495,0.0879568704021403,0.06447732286052503
mm07,0.1324298176116006,0.09820708365087337,0.07205312436381388
mm08,0.14027236909317828,0.10405058590126483,0.07636889793346113
mm01_mm05,0.2792767107760913,0.20674997024421507,0.15132303032554548
mm01_mm06,0.13929524602780852,0.10254534283585619,0.07446005096558334
mm01_mm07,0.15354678893773474,0.11314532568318023,0.08226941067563422
mm01_mm08,0.1609449290776336,0.11866626297128623,0.08635573765424012
mm02_mm05,0.5084691945026638,0.37235806030322,0.26833816912640857
mm02_mm06,0.3197639180876767,0.23271511051351845,0.16619000553814514
mm02_mm07,0.3385479275905571,0.2466042032572856,0.17633826758795618
mm02_mm08,0.3487492930438226,0.2541759696911277,0.18190042176305068
mm05_mm01,0.2792767107760913,0.20674997024421507,0.15132303032554548
mm05_mm02,0.5084691945026638,0.37235806030322,0.26833816912640857
mm05_mm06,0.2813939612749753,0.2093244208111297,0.1542468858224991
mm05_mm07,0.2813939612749753,0.2093244208111297,0.1542468858224991
mm05_mm08,0.2892845124733842,0.21520390495639735,0.15858945693528612
mm06_mm01,0.13929524602780852,0.10254534283585619,0.07446005096558334
mm06_mm02,0.3197639180876767,0.23271511051351845,0.16619000553814514
mm06_mm05,0.2678757193970231,0.19924712440609063,0.1467992550634262
mm06_mm08,0.15521256258414376,0.11520454794107939,0.08462931723824986
mm07_mm01,0.15354678893773474,0.11314532568318023,0.08226941067563422
mm07_mm02,0.3385479275905571,0.2466042032572856,0.17633826758795618
mm07_mm05,0.2813939612749753,0.2093244208111297,0.1542468858224991
mm07_mm08,0.16928533502959234,0.1256960174957939,0.09238385612850014
mm08_mm01,0.1609449290776336,0.11866626297128623,0.08635573765424012
mm08_mm02,0.3487492930438226,0.2541759696911277,0.18190042176305068
mm08_mm05,0.2892845124733842,0.21520390495639735,0.15858945693528612
mm08_mm06,0.15521256258414376,0.11520454794107939,0.08462931723824986
mm08_mm07,0.16928533502959234,0.1256960174957939,0.09238385612850014
